sofifa_id,overall
158023,93.3345947265625
20801,92.79946899414062
190871,92.54303741455078
200389,90.17269897460938
183277,91.04657745361328
192985,90.77310180664062
192448,89.56639099121094
203376,88.95946502685547
177003,89.32471466064453
209331,88.83428192138672
231747,87.7447738647461
201024,88.8791275024414
202126,88.3999252319336
212831,88.47284698486328
193080,89.2442855834961
215914,88.87042999267578
138956,89.17898559570312
153079,89.32247924804688
155862,88.68016052246094
176580,89.87313079833984
188545,89.22858428955078
189511,88.68344116210938
194765,89.50228881835938
211110,87.97522735595703
195864,88.38092803955078
210257,87.25457000732422
202652,87.91613006591797
190460,88.07814025878906
192119,88.38373565673828
152729,88.32546997070312
162835,87.73908996582031
167495,89.04764556884766
167948,88.14007568359375
168542,87.84107971191406
179813,87.8514633178711
182493,87.52576446533203
182521,88.84554290771484
188350,88.35385131835938
188567,87.92607116699219
208722,87.68111419677734
212218,86.78440856933594
218667,86.24175262451172
200145,87.18863677978516
200104,86.74956512451172
135507,85.77549743652344
164240,86.93155670166016
165153,87.43821716308594
172871,86.59991455078125
175943,86.48961639404297
178603,87.2573013305664
184087,86.61669921875
189332,86.88919067382812
189509,86.5004653930664
193041,86.9531478881836
198219,86.8799819946289
222492,85.69940948486328
207865,86.34451293945312
232363,84.70022583007812
199556,86.31333923339844
205600,86.29127502441406
186153,86.72183990478516
212622,85.45532989501953
197781,85.74076843261719
201942,86.26334381103516
168651,86.4930648803711
180206,85.83394622802734
183898,86.34729766845703
184344,86.0503921508789
189242,85.5396728515625
189513,84.83081817626953
189596,86.26072692871094
192387,85.1793441772461
193301,85.37057495117188
235243,84.79220581054688
230621,84.00096130371094
228702,85.79499053955078
201535,85.7861557006836
212190,85.16348266601562
223848,84.61366271972656
231866,84.26347351074219
208421,84.38505554199219
209499,85.42796325683594
216267,83.93199920654297
216460,84.68160247802734
220440,85.1379165649414
212198,83.63037872314453
199482,84.93904113769531
185122,85.02444458007812
189117,85.01036071777344
192505,84.51722717285156
192774,85.224365234375
194404,85.08968353271484
197445,85.7015380859375
201399,84.51089477539062
204963,85.55071258544922
208670,84.43213653564453
41236,85.06000518798828
143076,85.06700134277344
167664,85.715576171875
170890,85.16465759277344
173731,85.90687561035156
176676,85.97174835205078
177413,84.87167358398438
191043,85.0437240600586
192629,84.36238861083984
193747,84.94656372070312
198710,85.61495208740234
199914,84.38981628417969
233049,83.24566650390625
235790,82.41461181640625
231443,83.84645080566406
206585,83.48478698730469
210514,84.2626953125
211117,84.26353454589844
