,sofifa_id,short_name,player_positions,overall,age
0,158023,L. Messi,ED,94,28
1,20801,Cristiano Ronaldo,EI,93,30
2,9014,A. Robben,CD,90,31
3,167495,M. Neuer,GK,90,29
4,176580,L. Suárez,ST,90,28
5,183277,E. Hazard,CI,89,24
6,41236,Z. Ibrahimović,ST,89,33
7,190871,Neymar,EI,88,23
8,164240,Thiago Silva,DF,88,30
9,168542,David Silva,CM,88,29
10,198710,J. Rodríguez,CM,87,23
11,173731,G. Bale,CD,87,25
12,182521,T. Kroos,CM,87,25
13,183907,J. Boateng,DF,87,26
14,188545,R. Lewandowski,ST,87,26
15,176635,M. Özil,CM,87,26
16,121939,P. Lahm,CM,87,31
17,138956,G. Chiellini,DF,87,30
18,153079,S. Agüero,ST,87,27
19,155862,Sergio Ramos,DF,87,29
20,156616,F. Ribéry,CI,87,32
21,162895,Cesc Fàbregas,CM,87,28
22,177003,L. Modrić,CM,87,29
23,195864,P. Pogba,CM,86,22
24,192119,T. Courtois,GK,86,23
25,192985,K. De Bruyne,CM,86,24
26,193080,De Gea,GK,86,24
27,165153,K. Benzema,ST,86,27
28,178603,M. Hummels,DF,86,26
29,184941,A. Sánchez,EI,86,26
30,188350,M. Reus,CI,86,26
31,189511,Sergio Busquets,CM,86,26
32,189596,T. Müller,MP,86,25
33,179844,Diego Costa,ST,86,26
34,54050,W. Rooney,ST,86,29
35,121944,B. Schweinsteiger,CM,86,30
36,143001,C. Tévez,ST,86,31
37,181872,A. Vidal,CM,86,28
38,197445,D. Alaba,LI,85,23
39,152729,Piqué,DF,85,28
40,13732,J. Terry,DF,85,34
41,20289,Y. Touré,CM,85,32
42,48940,P. Čech,GK,85,33
43,139720,V. Kompany,DF,85,29
44,146562,Santi Cazorla,CM,85,30
45,167948,H. Lloris,GK,85,28
46,171919,Naldo,DF,85,32
47,179813,E. Cavani,ST,85,28
48,182493,D. Godín,DF,85,29
49,183898,A. Di María,CM,85,27
50,197781,Isco,CM,84,23
51,199556,M. Verratti,CM,84,22
