,sofifa_id,short_name,player_positions,overall,age
0,158023,L. Messi,MP,93,27
1,20801,Cristiano Ronaldo,EI,92,29
2,9014,A. Robben,CD,90,30
3,41236,Z. Ibrahimović,ST,90,32
4,167495,M. Neuer,GK,90,28
5,176580,L. Suárez,ST,89,27
6,183277,E. Hazard,CI,88,23
7,7826,R. van Persie,ST,88,30
8,121944,B. Schweinsteiger,CM,88,29
9,156616,F. Ribéry,CI,88,31
10,167397,Falcao,ST,88,28
11,173731,G. Bale,CD,87,24
12,188545,R. Lewandowski,ST,87,25
13,121939,P. Lahm,CM,87,30
14,155862,Sergio Ramos,DF,87,28
15,164240,Thiago Silva,DF,87,29
16,168542,David Silva,CI,87,28
17,177003,L. Modrić,CM,87,28
18,198710,J. Rodríguez,CM,86,22
19,190871,Neymar,EI,86,22
20,192119,T. Courtois,GK,86,22
21,178603,M. Hummels,DF,86,25
22,183898,A. Di María,CM,86,26
23,188350,M. Reus,CI,86,25
24,189596,T. Müller,CD,86,24
25,153079,S. Agüero,ST,86,26
26,176635,M. Özil,CM,86,25
27,10535,Xavi,CM,86,34
28,20289,Y. Touré,CM,86,31
29,54050,W. Rooney,ST,86,28
30,139720,V. Kompany,DF,86,28
31,192318,M. Götze,CM,85,22
32,189511,Sergio Busquets,CM,85,25
33,182521,T. Kroos,CM,85,24
34,165153,K. Benzema,ST,85,26
35,179813,E. Cavani,ST,85,27
36,179844,Diego Costa,ST,85,25
37,181872,A. Vidal,CM,85,27
38,167948,H. Lloris,GK,85,27
39,177610,Javi Martinez,DF,85,25
40,178088,Juan Mata,CM,85,26
41,183907,J. Boateng,DF,85,25
42,48940,P. Čech,GK,85,32
43,143001,C. Tévez,ST,85,30
44,152729,Piqué,DF,84,27
45,143745,A. Turan,CI,84,27
46,184941,A. Sánchez,ED,84,25
47,188152,Oscar,CM,84,22
48,165239,S. Nasri,CI,84,27
49,177509,M. Benatia,DF,84,27
50,179846,S. Khedira,CM,84,27
51,167664,G. Higuaín,ST,84,26
52,168435,S. Sirigu,GK,84,27
53,5479,Casillas,GK,84,33
54,7763,A. Pirlo,CM,84,35
55,45197,Xabi Alonso,CM,84,32
56,53302,D. De Rossi,CM,84,30
57,138956,G. Chiellini,DF,84,29
58,139869,W. Sneijder,CM,84,30
59,146562,Santi Cazorla,CI,84,29
60,148803,K. Huntelaar,ST,84,30
61,162895,Cesc Fàbregas,CM,84,27
62,182493,D. Godín,DF,84,28
63,195864,P. Pogba,CM,83,21
64,197781,Isco,CM,83,22
65,186942,I. Gündoğan,CM,83,23
66,193080,De Gea,GK,83,23
67,193082,J. Cuadrado,CD,83,26
68,171833,D. Sturridge,ST,83,24
69,180206,M. Pjanić,CM,83,24
70,186561,A. Ramsey,CM,83,23
71,189505,Pedro,EI,83,26
72,170481,E. Garay,DF,83,27
73,170890,B. Matuidi,CM,83,27
74,167628,S. Ruffier,GK,83,27
75,168651,I. Rakitić,CM,83,26
76,173221,A. Candreva,ED,83,27
77,2196,R. Weidenfeller,GK,83,33
78,13732,J. Terry,DF,83,33
79,53612,P. Mertesacker,DF,83,29
80,112253,J. Toulalan,CM,83,30
81,120533,Pepe,DF,83,31
82,137186,A. Barzagli,DF,83,33
83,140601,N. Vidić,DF,83,32
84,142754,J. Mascherano,DF,83,30
85,146439,Negredo,ST,83,28
86,146530,Dani Alves,LD,83,31
87,146536,Jesús Navas,CD,83,28
88,146748,Diego López,GK,83,32
89,148119,I. Akinfeev,GK,83,28
90,158133,J. Farfán,CD,83,29
91,162347,João Moutinho,CM,83,27
92,162835,S. Handanovič,GK,83,29
93,168609,Miranda,DF,83,29
94,173210,C. Marchisio,CM,83,28
95,174543,C. Bravo,GK,83,31
96,180930,E. Džeko,ST,83,28
97,181783,M. Mandžukić,ST,83,28
98,189358,S. Kagawa,CM,83,25
99,189362,Hulk,ED,83,27
100,190460,C. Eriksen,CM,82,22
101,192448,M. ter Stegen,GK,82,22
102,194765,A. Griezmann,EI,82,23
103,169416,C. Vela,ED,82,25
104,197445,D. Alaba,LI,82,22
105,200949,Lucas,ED,82,21
106,171877,M. Hamšik,CM,82,26
107,186627,M. Balotelli,ST,82,23
108,175943,D. Mertens,CM,82,27
109,176676,Marcelo,LI,82,26
110,191202,N. Matić,CM,82,25
111,192563,B. Leno,GK,82,22
112,193747,Koke,CI,82,22
113,196144,J. Martínez,ST,82,27
114,162409,G. Rossi,ST,82,27
115,172723,A. Begović,GK,82,27
116,172871,J. Vertonghen,DF,82,27
117,172879,Sokratis,DF,82,26
118,179784,B. Höwedes,DF,82,26
119,180403,Willian,CD,82,25
120,183556,N. Subotić,DF,82,25
121,184144,N. Gaitán,CI,82,26
122,188428,S. Doumbia,ST,82,26
123,150724,J. Hart,GK,82,27
124,173426,S. Mignolet,GK,82,26
125,179944,David Luiz,DF,82,27
126,185221,Luiz Gustavo,CM,82,26
127,1179,G. Buffon,GK,82,36
128,13743,S. Gerrard,CM,82,34
129,16254,T. Howard,GK,82,35
130,20800,Danny,EI,82,30
131,48717,Júlio César,GK,82,34
132,49370,T. Motta,CM,82,31
133,121933,R. Adler,GK,82,29
134,136130,Alex,DF,82,32
135,136138,Diego,CM,82,29
136,142784,P. Zabaleta,LD,82,29
137,146954,Gabi,CM,82,30
138,150418,M. Gomez,ST,82,28
139,152999,R. Palacio,ST,82,32
140,158625,Dante,DF,82,30
141,159065,E. Lavezzi,EI,82,29
142,161956,Borja Valero,CM,82,29
143,163631,L. Baines,LI,82,29
144,163705,S. Mandanda,GK,82,29
145,164169,Filipe Luís,LI,82,28
146,164994,J. Błaszczykowski,CD,82,28
147,173771,L. Piszczek,LD,82,29
148,180432,Hernanes,CM,82,29
149,182494,F. Muslera,GK,82,28
150,209119,F. Amorebielsa,DF,82,28
151,184881,S. Feghouli,CD,81,24
152,201535,R. Varane,DF,81,21
153,212218,A. Laporte,DF,81,20
