,sofifa_id,short_name,player_positions,overall,age
0,158023,L. Messi,ED,94,32
1,20801,Cristiano Ronaldo,ST,93,34
2,190871,Neymar Jr,EI,92,27
3,200389,J. Oblak,GK,91,26
4,183277,E. Hazard,EI,91,28
5,192985,K. De Bruyne,CM,91,28
6,192448,M. ter Stegen,GK,90,27
7,203376,V. van Dijk,DF,90,27
8,177003,L. Modrić,CM,90,33
9,209331,M. Salah,ED,90,27
10,231747,K. Mbappé,ST,89,20
11,201024,K. Koulibaly,DF,89,28
12,202126,H. Kane,ST,89,25
13,212831,Alisson,GK,89,26
14,193080,De Gea,GK,89,28
15,215914,N. Kanté,CM,89,28
16,138956,G. Chiellini,DF,89,34
17,153079,S. Agüero,ST,89,31
18,155862,Sergio Ramos,DF,89,33
19,176580,L. Suárez,ST,89,32
20,188545,R. Lewandowski,ST,89,30
21,189511,Sergio Busquets,CM,89,30
22,194765,A. Griezmann,MP,89,28
23,211110,P. Dybala,CM,88,25
24,195864,P. Pogba,CM,88,26
25,210257,Ederson,GK,88,25
26,202652,R. Sterling,ED,88,24
27,190460,C. Eriksen,CM,88,27
28,192119,T. Courtois,GK,88,27
29,152729,Piqué,DF,88,32
30,162835,S. Handanovič,GK,88,34
31,167495,M. Neuer,GK,88,33
32,167948,H. Lloris,GK,88,32
33,168542,David Silva,CM,88,33
34,179813,E. Cavani,ST,88,32
35,182493,D. Godín,DF,88,33
36,182521,T. Kroos,CM,88,29
37,188350,M. Reus,CM,88,30
38,188567,P. Aubameyang,ST,88,30
39,208722,S. Mané,EI,88,27
40,212218,A. Laporte,DF,87,25
41,218667,Bernardo Silva,ED,87,24
42,200145,Casemiro,CM,87,27
43,200104,H. Son,MP,87,26
44,135507,Fernandinho,CM,87,34
45,164240,Thiago Silva,DF,87,34
46,165153,K. Benzema,MP,87,31
47,172871,J. Vertonghen,DF,87,32
48,175943,D. Mertens,MP,87,32
49,178603,M. Hummels,DF,87,30
50,184087,T. Alderweireld,DF,87,30
51,189332,Jordi Alba,LI,87,30
52,189509,Thiago,CM,87,28
53,193041,K. Navas,GK,87,32
54,198219,L. Insigne,MP,87,28
55,222492,L. Sané,EI,86,23
56,207865,Marquinhos,DF,86,25
57,232363,M. Škriniar,DF,86,24
58,199556,M. Verratti,CM,86,26
59,205600,S. Umtiti,DF,86,25
60,186153,W. Szczęsny,GK,86,29
61,212622,J. Kimmich,LD,86,24
62,197781,Isco,CM,86,27
63,201942,Roberto Firmino,MP,86,27
64,168651,I. Rakitić,CM,86,31
65,180206,M. Pjanić,CM,86,29
66,183898,A. Di María,ED,86,31
67,184344,L. Bonucci,DF,86,32
68,189242,Coutinho,EI,86,27
69,189513,Parejo,CM,86,30
70,189596,T. Müller,CM,86,29
71,192387,C. Immobile,ST,86,29
72,193301,A. Lacazette,ST,86,28
73,235243,M. de Ligt,DF,85,19
74,230621,G. Donnarumma,GK,85,20
75,228702,F. de Jong,CM,85,22
76,201535,R. Varane,DF,85,26
77,212190,N. Süle,DF,85,23
78,223848,S. Milinković-Savić,CM,85,24
79,231866,Rodri,CM,85,23
80,208421,Saúl,CM,85,24
81,209499,Fabinho,CM,85,25
82,216267,A. Robertson,LI,85,25
83,216460,J. Giménez,DF,85,24
84,220440,C. Lenglet,DF,85,24
85,212198,Bruno Fernandes,CM,85,24
86,199482,A. Lopes,GK,85,28
87,185122,P. Gulácsi,GK,85,29
88,189117,R. Bürki,GK,85,28
89,192505,R. Lukaku,ST,85,26
90,192774,K. Manolas,DF,85,28
91,194404,Neto,GK,85,29
92,197445,D. Alaba,LI,85,27
93,201399,M. Icardi,ST,85,26
94,204963,Carvajal,LD,85,27
95,208670,H. Ziyech,CM,85,26
96,41236,Z. Ibrahimović,ST,85,37
97,143076,A. Gómez,CM,85,31
98,167664,G. Higuaín,ST,85,31
99,170890,B. Matuidi,CM,85,32
100,173731,G. Bale,ED,85,29
101,176676,Marcelo,LI,85,31
102,177413,A. Witsel,CM,85,30
103,191043,Alex Sandro,LI,85,28
104,192629,Iago Aspas,ST,85,31
105,193747,Koke,CD,85,27
106,198710,J. Rodríguez,CM,85,27
107,199914,Allan,CM,85,28
108,233049,J. Sancho,CD,84,19
109,235790,K. Havertz,CM,84,20
110,231443,O. Dembélé,ED,84,22
111,206585,Kepa,GK,84,24
112,210514,João Cancelo,LD,84,25
113,211117,D. Alli,CM,84,23
114,220814,L. Hernández,DF,84,23
115,230658,Arthur,CM,84,22
116,202556,M. Depay,MP,84,25
117,209658,L. Goretzka,CM,84,24
118,212194,J. Brandt,CM,84,23
119,213345,K. Coman,CI,84,23
120,206113,S. Gnabry,CD,84,23
121,216594,N. Fekir,CM,84,25
122,192563,B. Leno,GK,84,27
123,198706,Luis Alberto,CM,84,26
124,212462,Alex Telles,LI,84,26
125,236583,J. Pavlenka,GK,84,27
126,198176,S. de Vrij,DF,84,27
127,201995,Felipe Anderson,CI,84,26
128,120533,Pepe,DF,84,36
129,162347,João Moutinho,CM,84,32
130,167628,S. Ruffier,GK,84,32
131,168435,S. Sirigu,GK,84,32
132,171877,M. Hamšík,CM,84,31
133,172879,Sokratis,DF,84,31
134,176266,Lucas Leiva,CM,84,32
135,176635,M. Özil,CM,84,30
136,177610,Javi Martínez,CM,84,30
137,177683,Y. Sommer,GK,84,30
138,180930,E. Džeko,ST,84,33
139,181291,G. Wijnaldum,CM,84,28
140,181458,I. Perišić,CI,84,30
141,181783,M. Mandžukić,ST,84,33
142,181872,A. Vidal,CM,84,32
143,183907,J. Boateng,DF,84,30
144,184432,Azpilicueta,LD,84,29
145,185020,José Callejón,CD,84,32
146,186942,I. Gündoğan,CM,84,28
147,187961,Paulinho,CM,84,30
148,188377,K. Walker,LD,84,29
149,190286,Canales,CM,84,28
150,190483,Douglas Costa,CI,84,28
151,197965,Pizzi,CD,84,29
152,199434,D. Tadić,CM,84,30
153,200647,J. Iličić,MP,84,31
154,204485,R. Mahrez,ED,84,28
155,205678,E. Višća,CD,84,29
156,207863,Felipe,DF,84,30
157,226271,Fabián,CM,83,23
158,210413,A. Romagnoli,DF,83,24
159,226226,G. Lo Celso,CM,83,23
160,231281,T. Alexander-Arnold,LD,83,20
161,232432,L. Jović,ST,83,21
162,205175,A. Milik,ST,83,25
163,211300,A. Martial,EI,83,23
164,212523,Anderson Talisca,CM,83,25
165,213331,J. Tah,DF,83,23
166,219683,C. Tolisso,CM,83,24
167,221087,Pau López,GK,83,24
168,224411,Gonçalo Guedes,CI,83,22
169,226110,N. Pépé,CD,83,24
170,229237,M. Akanji,DF,83,23
171,231677,M. Rashford,ST,83,21
172,203574,J. Stones,DF,83,25
